a1	0.0013

a2	0.0460

a3	0.1735

a4	0.0639

a80	0.2197

aR	0.2166

ag1	622.0874

ag2	1.1507

ag3	0.5416

ag4	0.0022

ag80	0.3330

a0HXT	0.0395

aHXT	0.9584

d	0.0080

dsugar	7.0000

kf3	32.3226

kr3	3391.0000

kf83	20101.0652

kr83	700.1000

kf84	2247.1996

kr84	1237.0000

KG1	19.2683

KG2	9.8871

KG3	3.6724

KG80	16.8227

KR1	1.2675

KR3	14.1235

KR4	8.5890

KRs	132.9042

KHXT	5.6553

kG2	19.8201

rcat	1.1729

rG2	0.6668

rHXT	467.9572

KGglu	4443238.6537

KHXTglu	6086516.7079

n1	3.1927

n2	1.9331

n3	5.3824

n80	1.2050

nR1	1.0000

nR3	1.0000

nR4	1.0000

nRs	1.8946

nHXT	5.2076

